Date,Sector,Universe Gross Sales EUR M,Universe Net Sales EUR M
01/02/2010,Sector_10,2.99674619,2.28003438
01/02/2010,Sector_11,0.0452732,0.02354447
01/02/2010,Sector_12,56.86842998,33.77085576
01/02/2010,Sector_13,0,-39.36534203
01/02/2010,Sector_14,1.05324458,0.56217381
01/02/2010,Sector_15,0.08912055,-0.06955832
01/02/2010,Sector_16,661.2847134,261.8244284
01/02/2010,Sector_17,159.4773182,-9.13881747
01/02/2010,Sector_18,967.707693,501.1969661
01/02/2010,Sector_19,94.47204843,108.5878056
01/02/2010,Sector_20,1835.036881,1166.500192
01/02/2010,Sector_21,1082.440008,558.5548709
01/02/2010,Sector_22,656.3019657,504.775429
01/02/2010,Sector_23,0.14280323,-1.06299833
01/02/2010,Sector_24,81.63982134,36.9901437
01/02/2010,Sector_25,218.0525415,50.91001767
01/02/2010,Sector_26,0.26910045,-0.00729734
01/02/2010,Sector_27,786.1705184,190.8048592
01/02/2010,Sector_28,21.45494891,-105.6760147
01/02/2010,Sector_29,5.12091267,1.79253725
01/02/2010,Sector_31,245.2904365,205.7897767
01/02/2010,Sector_32,2069.521748,1619.599183
01/02/2010,Sector_33,669.023763,134.1524216
01/02/2010,Sector_34,2.30664576,1.55236261
01/02/2010,Sector_35,0.32053136,0.02062978
01/02/2010,Sector_38,124.8700734,28.79053717
01/02/2010,Sector_39,5.68026671,-8.46278376
01/02/2010,Sector_40,4.86875525,1.47958098
01/02/2010,Sector_41,37.2963041,19.38948228
01/02/2010,Sector_42,4.58395956,3.58516879
01/02/2010,Sector_45,0.02997,0.02997
01/02/2010,Sector_46,1.57395922,0.23323109
01/02/2010,Sector_47,5.25084078,3.18136198
01/02/2010,Sector_49,0.11903776,-0.24941905
01/02/2010,Sector_50,0.39053466,0.33315586
01/02/2010,Sector_51,0.00492047,0.00492033
01/02/2010,Sector_53,232.3839688,212.7131562
01/02/2010,Sector_54,0.52380037,0.23387715
01/02/2010,Sector_55,638.6755776,400.1396783
01/02/2010,Sector_56,450.8419874,277.6462684
01/02/2010,Sector_57,72.85496278,60.05614667
01/02/2010,Sector_59,197.0353858,120.3664216
01/02/2010,Sector_61,568.1605412,326.153479
01/02/2010,Sector_62,1119.953569,419.5838889
01/02/2010,Sector_63,11.57310175,9.75590367
01/02/2010,Sector_64,32.8179222,30.68627222
01/02/2010,Sector_65,100.8408377,25.99590575
01/02/2010,Sector_66,183.9797329,4.24423074
01/02/2010,Sector_67,3.39343707,3.16747742
01/02/2010,Sector_68,59.09214129,3.94595324
01/02/2010,Sector_70,262.6863295,122.7130525
01/02/2010,Sector_71,2.4249064,1.66225504
01/02/2010,Sector_72,0.11439575,0.10833202
01/02/2010,Sector_73,144.180124,15.63816563
01/02/2010,Sector_75,239.6227011,-0.13255531
01/02/2010,Sector_76,416.5149601,54.90551726
01/02/2010,Sector_77,0.07327575,-4.70540605
01/02/2010,Sector_79,0.38112016,0.33490039
01/02/2010,Sector_80,849.3038096,-73.67789433
01/02/2010,Sector_81,54.30584763,30.41305518
01/02/2010,Sector_82,169.7370871,-309.9978004
